analysis,outcome,predictor,coef,se,p_value,ci_low,ci_high
JavaExp time_output,time,JavaExp time_output,7.031489669055058,6.121588568279889,0.2507052528037741,-4.966823924773524,19.02980326288364
JavaExp time_correct_output,time_correct,JavaExp time_correct_output,4.581691011426979,7.064982556143068,0.516657051059354,-9.265674798613436,18.42905682146739
JavaExp acc_syntaxBL,accuracy,JavaExp acc_syntaxBL,-0.4254102858308411,0.24840862814628026,0.08679677443061666,-0.9122911969975505,0.06147062533586817
JavaExp time_syntaxBL,time,JavaExp time_syntaxBL,0.31680146913272667,0.7712330403021445,0.6812392217085479,-1.1948152898594766,1.8284182281249297
JavaExp time_correct_syntaxBL,time_correct,JavaExp time_correct_syntaxBL,0.17016690521857022,0.851724034736733,0.8416439406632125,-1.4992122028654264,1.8395460133025667
JavaExp readTime,read_time,JavaExp readTime,-2.3477959963708517,6.759337642973456,0.7283350522856129,-15.596097776598826,10.900505783857122
OOP acc_function,accuracy,OOP acc_function,0.39226616811267156,0.17558167213405887,0.02547681083225303,0.04812609072991619,0.736406245495427
OOP time_function,time,OOP time_function,1.4957993643694079,9.64597370067675,0.8767662778566045,-17.41030908895702,20.401907817695836
OOP time_correct_function,time_correct,OOP time_correct_function,-2.8068717636974925,7.833413973881236,0.7201035785850249,-18.160363152504715,12.54661962510973
OOP acc_output,accuracy,OOP acc_output,0.449583162736799,0.19835517674039593,0.023417348135302208,0.060807016325622965,0.8383593091479751
OOP time_output,time,OOP time_output,-4.060452249900138,6.11394878472627,0.5066075876544445,-16.043791867963627,7.922887368163352
OOP time_correct_output,time_correct,OOP time_correct_output,-7.369858722355411,7.14223852808196,0.302133214822373,-21.368646237396053,6.6289287926852305
OOP acc_syntaxBL,accuracy,OOP acc_syntaxBL,0.027621230894464333,0.2015446420294661,0.8909930867062751,-0.3674062674832892,0.42264872927221786
OOP time_syntaxBL,time,OOP time_syntaxBL,-1.0014802015269118,0.7571693883184657,0.18594735593639333,-2.4855322026311044,0.4825717995772809
OOP time_correct_syntaxBL,time_correct,OOP time_correct_syntaxBL,-1.415979163689721,0.8562599130439982,0.09819272155233416,-3.0942485932559576,0.2622902658765154
OOP readTime,read_time,OOP readTime,-2.1064398663597,6.761232504816263,0.755385025018544,-15.358455575799576,11.145575843080175
PE acc_function,accuracy,PE acc_function,0.19915430837170459,0.12606649822327737,0.11416275303761983,-0.047936028145919046,0.44624464488932825
PE time_function,time,PE time_function,-3.2048357975921085,9.636061939148314,0.7394455198662366,-22.0915171983228,15.681845603138585
PE time_correct_function,time_correct,PE time_correct_function,-1.8498029309343775,7.53453547977585,0.8060616560714002,-16.617492471295044,12.917886609426288
PE acc_output,accuracy,PE acc_output,0.2797179095329734,0.15099481544913576,0.06395404434104215,-0.016231928747332702,0.5756677478132795
PE time_output,time,PE time_output,-3.484405823635391,6.112925905482248,0.568673475497965,-15.465740598380597,8.496928951109814
PE time_correct_output,time_correct,PE time_correct_output,-0.9444327643034227,6.945189900877303,0.891834150342606,-14.557004970022936,12.66813944141609
PE acc_syntaxBL,accuracy,PE acc_syntaxBL,0.04380713427670421,0.13998708231366763,0.7543285443100411,-0.23056754705808433,0.3181818156114927
PE time_syntaxBL,time,PE time_syntaxBL,-0.6249003252181607,0.7667407285669988,0.4150673594244074,-2.1277121532094783,0.8779115027731569
PE time_correct_syntaxBL,time_correct,PE time_correct_syntaxBL,-0.49908013785944205,0.8526717445239443,0.5583370536553006,-2.170316757126373,1.1721564814074887
PE readTime,read_time,PE readTime,-2.100063208981176,6.761279775894517,0.7561036352253351,-15.352171569734429,11.152045151772077
BK acc_function,accuracy,BK acc_function,0.3514034950670207,0.13612567555542315,0.009838232682247055,0.08459717097839131,0.61820981915565
BK time_function,time,BK time_function,-10.92978541115084,9.499907158133174,0.24993183155105858,-29.54960344109186,7.690032618790182
BK time_correct_function,time_correct,BK time_correct_function,-3.3850624063466217,7.587714104319128,0.6555075784162183,-18.256982050812113,11.486857238118867
BK acc_output,accuracy,BK acc_output,0.3813024656550687,0.22660956065663967,0.09244467125445306,-0.06285227323194503,0.8254572045420825
BK time_output,time,BK time_output,-11.476874301726987,6.1397646419642165,0.061585340122901865,-23.51081299997685,0.5570643965228772
BK time_correct_output,time_correct,BK time_correct_output,-11.300761238507235,6.870969112657363,0.10002934047080403,-24.767860699315666,2.1663382223011958
BK acc_syntaxBL,accuracy,BK acc_syntaxBL,0.025544222366411684,0.14206200882279202,0.8573014422447145,-0.25289731492626066,0.30398575965908403
BK time_syntaxBL,time,BK time_syntaxBL,-1.0214140758295287,0.7565349638907765,0.1769770317536934,-2.5042226050554506,0.4613944533963932
BK time_correct_syntaxBL,time_correct,BK time_correct_syntaxBL,-0.9067967293740689,0.7384198559978083,0.21943825143960127,-2.3540996471297735,0.5405061883816356
BK readTime,read_time,BK readTime,-10.208107771605212,6.583347164067679,0.12099867731451303,-23.111468213177865,2.6952526699674397
Fatigue acc_function,accuracy,Fatigue acc_function,0.0006368271804922387,0.04569765696595373,0.98888130895056,-0.08893058047277708,0.09020423483376155
Fatigue time_function,time,Fatigue time_function,-7.94880771434976,2.040313077025669,9.784425018648165e-05,-11.947821345320072,-3.9497940833794485
Fatigue time_correct_function,time_correct,Fatigue time_correct_function,-2.89780654629297,2.249869295557596,0.19774984768078852,-7.3075503655858585,1.5119372729999183
Fatigue acc_output,accuracy,Fatigue acc_output,-0.09281930734102484,0.052675199324003566,0.0780513174018076,-0.19606269801607182,0.010424083334022144
Fatigue time_output,time,Fatigue time_output,-7.448458874243087,1.881541157826869,7.535850457871142e-05,-11.13627954358375,-3.760638204902424
Fatigue time_correct_output,time_correct,Fatigue time_correct_output,-5.287335036641297,2.297127793810884,0.021351211976319315,-9.78970551251063,-0.7849645607719644
Fatigue acc_syntaxBL,accuracy,Fatigue acc_syntaxBL,0.09531404769127397,0.08789578935715688,0.27818822135816135,-0.0769616994487535,0.2675897948313014
Fatigue time_syntaxBL,time,Fatigue time_syntaxBL,-0.22054169885130948,0.2642261366031813,0.4039033893676083,-0.7384249265935448,0.2973415288909258
Fatigue time_correct_syntaxBL,time_correct,Fatigue time_correct_syntaxBL,-0.5001699337396452,0.2469191803360568,0.04280145458720545,-0.9841315271983166,-0.0162083402809739
Fatigue readTime,read_time,Fatigue readTime,-5.042346697231692,1.1712916164753586,1.670267701497391e-05,-7.338078265523395,-2.746615128939989
Fatigue snippet_total_time,snippet_total_time,Fatigue snippet_total_time,-15.6178082874442,2.6749267065740248,5.2643501506733035e-09,-20.86066463232929,-10.374951942559111
