case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,delta_kendall,abs_delta_spearman,abs_delta_kendall
CASE1_strict,1-5-7-6,time_syntaxBL,per_student,-0.054054054,0.468231056,-0.04954955,0.373412284,37,0.2,0.213808994,0.119047619,0.193429486,7,-0.254054054,-0.168597169,0.254054054,0.168597169
CASE1_strict,1-5-7-6,time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0,0,0
CASE1_strict,1-5-7-6,time_syntaxBL,median,0.2,0,0,0,4,-0.1,0.3,-0.166666667,0.166666667,4,0.3,0.166666667,0.3,0.166666667
CASE1_strict,1-5-7-6,time_scaleSM,per_student,0.12972973,0.520324672,0.103603604,0.432103854,37,0.385714286,0.313635691,0.333333333,0.281718085,7,-0.255984556,-0.22972973,0.255984556,0.22972973
CASE1_strict,1-5-7-6,time_scaleSM,avg,0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.2,-0.333333333,0.2,0.333333333
CASE1_strict,1-5-7-6,time_scaleSM,median,0.6,0.282842712,0.5,0.319142369,4,0.8,0,0.666666667,0,4,-0.2,-0.166666667,0.2,0.166666667
CASE1_strict,1-5-7-6,time_scaleST,per_student,0.097297297,0.440200499,0.072072072,0.376766192,37,0.4,0.325137334,0.333333333,0.251976315,7,-0.302702703,-0.261261261,0.302702703,0.261261261
CASE1_strict,1-5-7-6,time_scaleST,avg,-0.6,0,-0.333333333,0,4,1,0,1,0,4,-1.6,-1.333333333,1.6,1.333333333
CASE1_strict,1-5-7-6,time_scaleST,median,-0.2,0.43204938,-0.166666667,0.319142369,4,0.3,0.1,0.166666667,0.166666667,4,-0.5,-0.333333333,0.5,0.333333333
CASE1_strict,1-5-7-6,log_time_function,per_student,0.045945946,0.544552678,0.036036036,0.468425154,37,0.228571429,0.506287004,0.238095238,0.386858972,7,-0.182625483,-0.202059202,0.182625483,0.202059202
CASE1_strict,1-5-7-6,log_time_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,-0.333333333,0.2,0.333333333
CASE1_strict,1-5-7-6,log_time_function,median,1,0,1,0,4,0.6,0,0.333333333,0,4,0.4,0.666666667,0.4,0.666666667
CASE1_strict,1-5-7-6,log_time_output,per_student,0.540540541,0.473891001,0.486486486,0.407103551,37,0.757142857,0.238190457,0.642857143,0.287691571,7,-0.216602317,-0.156370656,0.216602317,0.156370656
CASE1_strict,1-5-7-6,log_time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-5-7-6,log_time_output,median,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-5-7-6,log_time_syntaxBL,per_student,-0.054054054,0.468231056,-0.04954955,0.373412284,37,0.2,0.213808994,0.119047619,0.193429486,7,-0.254054054,-0.168597169,0.254054054,0.168597169
