case,expert_ranking,proxy,aggregation,spearman_mean,spearman_std,kendall_mean,kendall_std,n
unanimous_up_to_ties,1-2-5-3-8,acc_syntaxBL,per_student,-0.12561585767035133,0.19785069806797362,-0.11235423872113759,0.17696304411031014,44
unanimous_up_to_ties,1-2-5-3-8,acc_syntaxBL,avg,-0.5642880936468347,0.0,-0.5270462766947298,0.0,5
unanimous_up_to_ties,1-2-5-3-8,scaleSM,per_student,0.6510790657088296,0.2380683221397937,0.574296242573842,0.23327887817111953,44
unanimous_up_to_ties,1-2-5-3-8,scaleSM,avg,0.8999999999999998,0.0,0.7999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-3-8,scaleST,per_student,0.6210913836990115,0.279656005476265,0.5383374122592186,0.2625181408683823,44
unanimous_up_to_ties,1-2-5-3-8,scaleST,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,readTime,per_student,0.4324085989110262,0.4081218855247321,0.35098350097071745,0.37583909654369757,44
unanimous_up_to_ties,1-2-5-7-6,readTime,avg,0.8999999999999998,0.0,0.7999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_readTime,per_student,0.36859511014680924,0.5199478615660933,0.3067982317886441,0.4467798324776254,44
unanimous_up_to_ties,1-2-5-7-6,log_readTime,avg,0.8999999999999998,0.0,0.7999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_function,per_student,0.10658201498104405,0.5048488204391968,0.09520867021186609,0.4029261105098918,44
unanimous_up_to_ties,1-2-5-7-6,time_function,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_output,per_student,0.5577628491667329,0.36295389833844377,0.4653574903351192,0.32506096106918414,44
unanimous_up_to_ties,1-2-5-7-6,time_output,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_syntaxBL,per_student,0.09271929145510427,0.403547396736884,0.076523300556584,0.3201323676426285,44
unanimous_up_to_ties,1-2-5-7-6,time_syntaxBL,avg,0.09999999999999999,0.0,0.0,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_scaleSM,per_student,0.1512209866745893,0.46190183555940856,0.13404472555939623,0.3938940240346339,44
unanimous_up_to_ties,1-2-5-7-6,time_scaleSM,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_scaleST,per_student,0.14503747589291688,0.43106557857490685,0.11230810223210773,0.37273435811182465,44
unanimous_up_to_ties,1-2-5-7-6,time_scaleST,avg,0.19999999999999998,0.0,0.19999999999999998,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_function,per_student,0.10658201498104405,0.5048488204391968,0.09520867021186609,0.4029261105098918,44
unanimous_up_to_ties,1-2-5-7-6,log_time_function,avg,0.8999999999999998,0.0,0.7999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_output,per_student,0.5577628491667329,0.36295389833844377,0.4653574903351192,0.32506096106918414,44
unanimous_up_to_ties,1-2-5-7-6,log_time_output,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_syntaxBL,per_student,0.09271929145510427,0.403547396736884,0.076523300556584,0.3201323676426285,44
unanimous_up_to_ties,1-2-5-7-6,log_time_syntaxBL,avg,0.09999999999999999,0.0,0.0,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_scaleSM,per_student,0.1512209866745893,0.46190183555940856,0.13404472555939623,0.3938940240346339,44
unanimous_up_to_ties,1-2-5-7-6,log_time_scaleSM,avg,0.49999999999999994,0.0,0.39999999999999997,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_scaleST,per_student,0.14503747589291688,0.43106557857490685,0.11230810223210773,0.37273435811182465,44
unanimous_up_to_ties,1-2-5-7-6,log_time_scaleST,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_correct_function,per_student,-0.19062499999999996,0.715611353581677,-0.15416666666666667,0.6704968100015258,32
unanimous_up_to_ties,1-2-5-7-6,time_correct_function,avg,0.3,0.0,0.19999999999999998,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_correct_output,per_student,0.42408016469042636,0.5560364032618711,0.3646401743526314,0.5072929974121377,36
unanimous_up_to_ties,1-2-5-7-6,time_correct_output,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,time_correct_syntaxBL,per_student,0.03836370019698696,0.457019225385385,0.00889560510292618,0.3924507842021574,42
unanimous_up_to_ties,1-2-5-7-6,time_correct_syntaxBL,avg,0.3,0.0,0.19999999999999998,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_correct_function,per_student,-0.19062499999999996,0.715611353581677,-0.15416666666666667,0.6704968100015258,32
unanimous_up_to_ties,1-2-5-7-6,log_time_correct_function,avg,-0.6,0.0,-0.39999999999999997,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_correct_output,per_student,0.42408016469042636,0.5560364032618711,0.3646401743526314,0.5072929974121377,36
unanimous_up_to_ties,1-2-5-7-6,log_time_correct_output,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,log_time_correct_syntaxBL,per_student,0.03836370019698696,0.457019225385385,0.00889560510292618,0.3924507842021574,42
unanimous_up_to_ties,1-2-5-7-6,log_time_correct_syntaxBL,avg,0.3,0.0,0.19999999999999998,0.0,5
unanimous_up_to_ties,1-2-5-7-6,acc_function,per_student,0.16221244531169646,0.500698861716844,0.13358347805862297,0.44842795778356676,44
unanimous_up_to_ties,1-2-5-7-6,acc_function,avg,0.46169025843831935,0.0,0.31622776601683794,0.0,5
unanimous_up_to_ties,1-2-5-7-6,acc_output,per_student,0.42852223054198596,0.3272436323307421,0.383281934944687,0.2926956028381949,44
unanimous_up_to_ties,1-2-5-7-6,acc_output,avg,0.8999999999999998,0.0,0.7999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-6,acc_syntaxBL,per_student,-0.0342784983857392,0.267846320144753,-0.03065962102285187,0.23956903174673563,44
unanimous_up_to_ties,1-2-5-7-6,acc_syntaxBL,avg,-0.3,0.0,-0.19999999999999998,0.0,5
unanimous_up_to_ties,1-2-5-7-6,scaleSM,per_student,0.5500912937573629,0.23313512703677652,0.48232869808997964,0.22219002342185562,44
unanimous_up_to_ties,1-2-5-7-6,scaleSM,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-6,scaleST,per_student,0.5344150005909487,0.24307259417215554,0.4610173056432531,0.2285119989237436,44
unanimous_up_to_ties,1-2-5-7-6,scaleST,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-8,readTime,per_student,0.3078659828906188,0.522029872034634,0.24520867021186613,0.46086653228259133,44
unanimous_up_to_ties,1-2-5-7-8,readTime,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-8,log_readTime,per_student,0.3078659828906188,0.522029872034634,0.24520867021186613,0.46086653228259133,44
unanimous_up_to_ties,1-2-5-7-8,log_readTime,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-8,time_function,per_student,0.36697184167621083,0.3456276344205469,0.3017211266987555,0.30413765837032913,44
unanimous_up_to_ties,1-2-5-7-8,time_function,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-8,time_output,per_student,0.5812427144200203,0.3338788534061845,0.4897428022284208,0.28550941145449177,44
unanimous_up_to_ties,1-2-5-7-8,time_output,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-8,time_syntaxBL,per_student,0.007189095931381139,0.38860379591703015,0.02567723413160032,0.3186101015646995,44
unanimous_up_to_ties,1-2-5-7-8,time_syntaxBL,avg,0.09999999999999999,0.0,0.0,0.0,5
unanimous_up_to_ties,1-2-5-7-8,time_scaleSM,per_student,0.1801687067496945,0.4164597125596055,0.15641317334125454,0.3630740943570574,44
unanimous_up_to_ties,1-2-5-7-8,time_scaleSM,avg,0.7,0.0,0.6,0.0,5
unanimous_up_to_ties,1-2-5-7-8,time_scaleST,per_student,0.1718143820251571,0.4817354729204367,0.1434507749660467,0.4057920469981526,44
unanimous_up_to_ties,1-2-5-7-8,time_scaleST,avg,0.39999999999999997,0.0,0.39999999999999997,0.0,5
unanimous_up_to_ties,1-2-5-7-8,log_time_function,per_student,0.36697184167621083,0.3456276344205469,0.3017211266987555,0.30413765837032913,44
unanimous_up_to_ties,1-2-5-7-8,log_time_function,avg,0.8999999999999998,0.0,0.7999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-8,log_time_output,per_student,0.5812427144200203,0.3338788534061845,0.4897428022284208,0.28550941145449177,44
unanimous_up_to_ties,1-2-5-7-8,log_time_output,avg,0.9999999999999999,0.0,0.9999999999999999,0.0,5
unanimous_up_to_ties,1-2-5-7-8,log_time_syntaxBL,per_student,0.007189095931381139,0.38860379591703015,0.02567723413160032,0.3186101015646995,44
