case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,abs_delta_spearman
strict,1-4-7-6,log_time_scaleSM,per_student,0.1756756756756756,0.5308867672852635,0.1576576576576576,0.4665153325180142,37,0.4571428571428571,0.328881840949181,0.4047619047619048,0.3067642553982173,7,-0.28146718146718147,0.28146718146718147
strict,1-4-7-6,log_time_scaleSM,avg,1.0,0.0,1.0,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.20000000000000007,0.20000000000000007
strict,1-4-7-6,log_time_scaleSM,median,0.7999999999999999,0.1414213562373094,0.6666666666666669,0.2357022603955158,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.0,0.0
strict,1-4-7-6,log_time_scaleST,per_student,0.1162162162162162,0.4756296046485283,0.0945945945945946,0.4037001171605059,37,0.4142857142857142,0.2948538205792899,0.3571428571428572,0.2075666163590797,7,-0.298069498069498,0.298069498069498
strict,1-4-7-6,log_time_scaleST,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.4,0.4
strict,1-4-7-6,log_time_scaleST,median,0.0,0.0,0.0,0.0,4,0.3,0.0999999999999999,0.1666666666666667,0.1666666666666667,4,-0.3,0.3
strict,1-4-7-6,time_correct_function,per_student,0.0249999999999999,0.7137051211810098,0.0052083333333333,0.6620732050305649,32,0.3999999999999999,0.656832224718437,0.3333333333333333,0.642416074439621,7,-0.375,0.375
strict,1-4-7-6,time_correct_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,1.0,0.0,1.0,0.0,4,-0.20000000000000007,0.20000000000000007
strict,1-4-7-6,time_correct_function,median,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.0,0.0
strict,1-4-7-6,time_correct_output,per_student,0.3545454545454545,0.7043548129169978,0.3181818181818182,0.6851769123996978,22,0.9,0.1772810520855836,0.8571428571428571,0.2428104530282278,7,-0.5454545454545455,0.5454545454545455
strict,1-4-7-6,time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,1.0,0.0,1.0,0.0,4,-0.20000000000000007,0.20000000000000007
strict,1-4-7-6,time_correct_output,median,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-4-7-6,time_correct_syntaxBL,per_student,0.04,0.5990230141059452,0.0238095238095238,0.5104353217471091,35,0.35,0.3105295017040594,0.2857142857142857,0.2629847861235062,7,-0.31,0.31
strict,1-4-7-6,time_correct_syntaxBL,avg,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.0,0.0
strict,1-4-7-6,time_correct_syntaxBL,median,0.3,0.0999999999999999,0.1666666666666667,0.1666666666666667,4,-0.1999999999999999,0.4320493798938573,-0.1666666666666667,0.3191423692521127,4,0.4999999999999999,0.4999999999999999
strict,1-4-7-6,log_time_correct_function,per_student,0.0249999999999999,0.7137051211810098,0.0052083333333333,0.6620732050305649,32,0.3999999999999999,0.656832224718437,0.3333333333333333,0.642416074439621,7,-0.375,0.375
strict,1-4-7-6,log_time_correct_function,avg,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,-0.4,0.4
strict,1-4-7-6,log_time_correct_function,median,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.0,0.0
strict,1-4-7-6,log_time_correct_output,per_student,0.3545454545454545,0.7043548129169978,0.3181818181818182,0.6851769123996978,22,0.9,0.1772810520855836,0.8571428571428571,0.2428104530282278,7,-0.5454545454545455,0.5454545454545455
strict,1-4-7-6,log_time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,1.0,0.0,1.0,0.0,4,-0.20000000000000007,0.20000000000000007
strict,1-4-7-6,log_time_correct_output,median,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-4-7-6,log_time_correct_syntaxBL,per_student,0.04,0.5990230141059452,0.0238095238095238,0.5104353217471091,35,0.35,0.3105295017040594,0.2857142857142857,0.2629847861235062,7,-0.31,0.31
strict,1-4-7-6,log_time_correct_syntaxBL,avg,0.1999999999999999,0.0,0.0,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,-0.2,0.2
strict,1-4-7-6,log_time_correct_syntaxBL,median,0.3,0.0999999999999999,0.1666666666666667,0.1666666666666667,4,-0.1999999999999999,0.4320493798938573,-0.1666666666666667,0.3191423692521127,4,0.4999999999999999,0.4999999999999999
strict,1-4-7-6,acc_function,per_student,0.2432432432432432,0.4309264316346506,0.2027027027027027,0.3759575065741502,37,-0.1428571428571428,0.4467570220317682,-0.1666666666666666,0.3673154433462265,7,0.386100386100386,0.386100386100386
strict,1-4-7-6,acc_function,avg,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.1999999999999999,0.1999999999999999,0.1666666666666667,0.1666666666666667,4,0.2,0.2
strict,1-4-7-6,acc_function,median,0.3999999999999999,0.282842712474619,0.3333333333333334,0.2357022603955159,4,-0.7999999999999999,0.1414213562373094,-0.6666666666666669,0.2357022603955158,4,1.1999999999999997,1.1999999999999997
strict,1-4-7-6,acc_output,per_student,0.3189189189189188,0.2845934395910958,0.2657657657657658,0.2371611996592466,37,0.3714285714285714,0.2490799396308956,0.3095238095238096,0.2075666163590797,7,-0.05250965250965256,0.05250965250965256
strict,1-4-7-6,acc_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.6,0.1999999999999999,0.5000000000000001,0.1666666666666667,4,0.19999999999999996,0.19999999999999996
strict,1-4-7-6,acc_output,median,0.3999999999999999,0.282842712474619,0.3333333333333334,0.2357022603955159,4,0.6,0.282842712474619,0.5000000000000001,0.3191423692521127,4,-0.20000000000000007,0.20000000000000007
